	meth pos	observed CpG	expected CpG	CpG bias	meth density	median meth %
SpisGene531	53	299	444.23	0.6731	8.86	78.57
SpisGene532	32	181	242.03	0.7478	8.84	51.92
SpisGene533	111	556	560.49	0.992	9.98	86.67
SpisGene534	0	285	340.85	0.8361	0	0
SpisGene535	0	436	443.51	0.9831	0	0
SpisGene536	33	31	96.26	0.322	53.23	90.91
SpisGene537	129	117	202.44	0.5779	55.13	85.71
SpisGene538	79	130	252.25	0.5154	30.38	90.48
SpisGene539	51	61	127.89	0.477	41.8	61.54
SpisGene540	0	145	165.88	0.8741	0	0
SpisGene541	0	521	468.81	1.1113	0	0
SpisGene542	15	64	109.21	0.586	11.72	23.08
SpisGene543	28	76	126.52	0.6007	18.42	91.29
SpisGene544	123	90	180.3	0.4992	68.33	66.67
SpisGene545	156	257	591.47	0.4345	30.35	82.84
SpisGene546	40	252	333.22	0.7563	7.94	86.04
SpisGene547	0	31	25.25	1.2277	0	0
SpisGene548	297	339	616.32	0.55	43.81	70.0
SpisGene549	5	986	1281.17	0.7696	0.25	25.0
SpisGene550	16	446	548.54	0.8131	1.79	13.64
SpisGene551	0	72	181.54	0.3966	0	0
SpisGene552	0	74	72.99	1.0138	0	0
SpisGene553	77	379	464.64	0.8157	10.16	46.67
SpisGene554	0	160	178.27	0.8975	0	0
SpisGene555	0	243	449.21	0.5409	0	0
SpisGene556	47	281	264.91	1.0607	8.36	84.62
SpisGene557	67	67	123.06	0.5444	50.0	85.71
SpisGene558	0	536	534.37	1.0031	0	0
SpisGene559	0	31	43.2	0.7176	0	0
SpisGene560	24	46	147.15	0.3126	26.09	11.24
SpisGene561	0	197	241.86	0.8145	0	0
SpisGene562	0	689	754.63	0.913	0	0
SpisGene563	9	429	462.98	0.9266	1.05	32.0
SpisGene564	0	44	69.92	0.6293	0	0
SpisGene565	0	378	409.16	0.9238	0	0
SpisGene567	0	316	248.66	1.2708	0	0
SpisGene568	18	29	81.73	0.3548	31.03	88.24
SpisGene569	108	78	168.2	0.4637	69.23	51.47
SpisGene570	0	213	109.9	1.9381	0	0
SpisGene571	29	34	105.59	0.322	42.65	82.35
SpisGene572	0	23	24.36	0.9442	0	0
SpisGene573	112	266	482.9	0.5508	21.05	80.0
SpisGene574	0	127	121.61	1.0443	0	0
SpisGene575	0	55	72.17	0.7621	0	0
SpisGene576	0	337	245.14	1.3747	0	0
SpisGene577	67	37	107.46	0.3443	90.54	91.67
SpisGene578	146	314	629.85	0.4985	23.25	82.97
SpisGene579	65	149	350.94	0.4246	21.81	64.29
SpisGene580	159	269	297.5	0.9042	29.55	18.75
SpisGene581	38	25	171.49	0.1458	76.0	72.47
SpisGene582	76	71	174.29	0.4074	53.52	90.24
SpisGene583	153	249	552.04	0.4511	30.72	80.0
SpisGene584	101	100	311.46	0.3211	50.5	81.25
SpisGene585	26	29	19.94	1.4544	44.83	86.19
SpisGene586	8	112	117.25	0.9552	3.57	4.79
SpisGene587	0	130	116.58	1.1151	0	0
SpisGene588	56	440	589.72	0.7461	6.36	90.0
SpisGene589	52	107	259.19	0.4128	24.3	82.97
SpisGene590	175	364	730.84	0.4981	24.04	76.92
SpisGene591	133	279	611.2	0.4565	23.84	83.33
SpisGene592	10	605	680.38	0.8892	0.83	13.94
SpisGene593	0	232	199.25	1.1644	0	0
SpisGene594	20	24	98.52	0.2436	41.67	90.24
SpisGene595	113	83	235.19	0.3529	68.07	88.24
SpisGene596	12	23	76.48	0.3007	26.09	62.52
SpisGene597	48	90	202.81	0.4438	26.67	87.87
SpisGene598	246	928	1478.85	0.6275	13.25	90.0
SpisGene599	61	65	117.07	0.5552	46.92	41.38
SpisGene600	132	150	174.92	0.8575	44.0	25.0
SpisGene601	181	274	513.52	0.5336	33.03	85.71
SpisGene602	156	327	580.76	0.5631	23.85	87.75
SpisGene603	0	337	415.29	0.8115	0	0
SpisGene604	48	37	124.65	0.2968	64.86	80.38
SpisGene605	42	93	199.7	0.4657	22.58	35.17
SpisGene606	27	177	286.31	0.6182	7.63	87.5
SpisGene607	48	441	469.56	0.9392	5.44	2.37
SpisGene608	205	350	571.38	0.6126	29.29	78.57
SpisGene610	241	199	439.54	0.4527	60.55	75.0
SpisGene611	2	32	39.25	0.8153	3.12	6.0
SpisGene612	19	101	164.7	0.6132	9.41	11.9
SpisGene613	23	73	128.24	0.5692	15.75	8.51
SpisGene614	0	103	125.53	0.8205	0	0
SpisGene615	236	156	304.65	0.5121	75.64	88.89
SpisGene616	56	28	147.71	0.1896	100.0	91.29
SpisGene617	67	55	185.69	0.2962	60.91	90.0
SpisGene618	43	91	216.52	0.4203	23.63	84.21
SpisGene619	58	97	291.49	0.3328	29.9	81.29
SpisGene620	25	64	115.86	0.5524	19.53	78.95
SpisGene621	0	47	192.18	0.2446	0	0
SpisGene622	142	115	378.24	0.304	61.74	88.89
SpisGene623	14	44	76.76	0.5732	15.91	79.47
SpisGene624	286	574	879.16	0.6529	24.91	84.62
SpisGene625	360	351	670.26	0.5237	51.28	87.5
SpisGene626	1	202	124.73	1.6195	0.25	8.33
SpisGene627	50	49	123.06	0.3982	51.02	86.19
SpisGene628	39	21	53.42	0.3931	92.86	35.71
SpisGene629	185	129	244.04	0.5286	71.71	38.46
SpisGene630	2	22	71.54	0.3075	4.55	35.37
SpisGene631	3	88	126.91	0.6934	1.7	9.38
SpisGene632	3	54	107.11	0.5042	2.78	6.98
SpisGene633	0	80	146.91	0.5446	0	0
SpisGene634	6	370	461.45	0.8018	0.81	10.91
SpisGene635	0	54	74.04	0.7293	0	0
SpisGene636	0	367	463.4	0.792	0	0
SpisGene637	0	281	353.97	0.7939	0	0
SpisGene638	0	31	39.02	0.7945	0	0
SpisGene639	0	122	146.42	0.8332	0	0
SpisGene640	82	252	384.47	0.6554	16.27	15.79
SpisGene641	0	40	74.38	0.5378	0	0
SpisGene642	0	23	105.0	0.219	0	0
SpisGene643	192	311	742.38	0.4189	30.87	83.67
SpisGene644	57	75	194.55	0.3855	38.0	71.43
SpisGene645	7	1392	1508.19	0.923	0.25	15.0
SpisGene646	68	211	386.46	0.546	16.11	80.95
SpisGene647	409	391	731.14	0.5348	52.3	85.71
SpisGene648	11	176	202.8	0.8679	3.12	16.0
SpisGene649	0	84	75.56	1.1117	0	0
SpisGene650	0	85	108.91	0.7805	0	0
SpisGene651	0	88	88.91	0.9898	0	0
SpisGene652	0	160	167.97	0.9526	0	0
SpisGene653	0	164	195.43	0.8392	0	0
SpisGene654	177	545	752.34	0.7244	16.24	77.27
SpisGene655	0	79	114.15	0.6921	0	0
SpisGene656	0	71	103.79	0.6841	0	0
SpisGene657	121	706	930.57	0.7587	8.57	85.71
SpisGene658	139	73	120.63	0.6052	95.21	90.0
SpisGene659	117	80	264.87	0.302	73.12	84.62
SpisGene660	11	17	49.67	0.3423	32.35	28.57
SpisGene661	15	303	348.1	0.8704	2.48	22.5
SpisGene662	48	47	111.56	0.4213	51.06	82.58
SpisGene664	66	33	82.77	0.3987	100.0	88.56
SpisGene665	0	285	571.95	0.4983	0	0
SpisGene666	0	135	167.63	0.8053	0	0
SpisGene667	143	88	253.29	0.3474	81.25	61.11
SpisGene668	121	103	182.88	0.5632	58.74	93.33
SpisGene669	99	304	355.67	0.8547	16.28	45.45
SpisGene670	938	542	914.63	0.5926	86.53	40.0
SpisGene672	137	92	218.42	0.4212	74.46	92.31
SpisGene673	0	1448	1852.89	0.7815	0	0
SpisGene674	0	12	61.95	0.1937	0	0
SpisGene675	0	79	150.93	0.5234	0	0
SpisGene676	0	77	93.11	0.827	0	0
SpisGene677	0	53	126.17	0.4201	0	0
SpisGene678	0	19	31.97	0.5943	0	0
SpisGene679	0	99	131.3	0.754	0	0
SpisGene680	7	292	331.3	0.8814	1.2	25.0
SpisGene681	0	98	89.22	1.0984	0	0
SpisGene682	0	259	306.94	0.8438	0	0
SpisGene683	0	114	200.93	0.5674	0	0
SpisGene684	0	35	60.9	0.5747	0	0
SpisGene685	0	69	141.61	0.4873	0	0
SpisGene686	73	39	47.72	0.8173	93.59	20.39
SpisGene687	48	108	127.0	0.8504	22.22	3.41
SpisGene688	0	320	470.29	0.6804	0	0
SpisGene689	7	84	102.42	0.8202	4.17	4.85
SpisGene690	0	97	112.53	0.862	0	0
SpisGene691	0	94	93.07	1.01	0	0
SpisGene692	0	171	268.24	0.6375	0	0
SpisGene693	0	38	65.67	0.5787	0	0
SpisGene694	5	71	116.54	0.6092	3.52	9.52
SpisGene695	0	54	88.2	0.6122	0	0
SpisGene696	40	171	115.8	1.4767	11.7	10.18
SpisGene697	1042	1439	1760.8	0.8172	36.21	81.25
SpisGene698	0	169	145.33	1.1629	0	0
SpisGene699	67	77	223.17	0.345	43.51	84.62
SpisGene700	56	60	117.53	0.5105	46.67	46.86
SpisGene701	111	105	251.96	0.4167	52.86	71.43
SpisGene702	258	157	416.51	0.3769	82.17	88.89
SpisGene703	22	124	193.82	0.6398	8.87	86.04
SpisGene704	0	75	109.68	0.6838	0	0
SpisGene705	3	414	470.26	0.8804	0.36	13.51
SpisGene706	0	14	23.26	0.6019	0	0
SpisGene707	3	101	157.07	0.643	1.49	7.25
SpisGene708	75	59	258.01	0.2287	63.56	90.0
SpisGene709	8	33	55.4	0.5957	12.12	48.33
SpisGene710	47	45	114.87	0.3917	52.22	82.35
SpisGene711	129	110	196.56	0.5596	58.64	84.21
SpisGene712	0	57	89.25	0.6387	0	0
SpisGene713	0	80	111.21	0.7194	0	0
SpisGene714	141	84	222.64	0.3773	83.93	23.08
SpisGene715	78	266	430.84	0.6174	14.66	52.79
SpisGene717	115	58	128.92	0.4499	99.14	65.0
SpisGene718	0	223	467.96	0.4765	0	0
SpisGene719	0	375	483.21	0.7761	0	0
SpisGene720	0	90	124.89	0.7206	0	0
SpisGene721	0	285	327.21	0.871	0	0
SpisGene722	0	60	70.1	0.8559	0	0
SpisGene723	4	465	467.07	0.9956	0.43	19.14
SpisGene724	0	464	531.52	0.873	0	0
SpisGene725	539	1478	2328.35	0.6348	18.23	84.62
SpisGene726	0	214	232.14	0.9219	0	0
SpisGene727	0	195	211.72	0.921	0	0
SpisGene728	0	393	473.27	0.8304	0	0
SpisGene729	391	295	635.55	0.4642	66.27	83.33
SpisGene730	0	126	148.82	0.8467	0	0
SpisGene731	0	169	141.05	1.1982	0	0
SpisGene732	0	26	27.17	0.9569	0	0
SpisGene733	0	321	446.22	0.7194	0	0
SpisGene734	0	188	258.38	0.7276	0	0
SpisGene735	68	217	401.94	0.5399	15.67	63.96
SpisGene736	244	424	692.6	0.6122	28.77	70.71
SpisGene737	0	37	60.48	0.6118	0	0
SpisGene738	0	63	85.64	0.7356	0	0
SpisGene739	6	178	279.61	0.6366	1.69	15.48
SpisGene740	59	379	425.69	0.8903	7.78	9.17
SpisGene741	0	121	170.21	0.7109	0	0
SpisGene742	3	244	247.28	0.9867	0.61	5.88
SpisGene743	14	936	1110.19	0.8431	0.75	9.31
SpisGene744	100	264	529.87	0.4982	18.94	49.51
SpisGene745	1	45	137.03	0.3284	1.11	0.0
SpisGene746	0	236	300.16	0.7862	0	0
SpisGene747	0	59	77.77	0.7586	0	0
SpisGene748	3	226	232.95	0.9702	0.66	6.25
SpisGene749	98	152	311.29	0.4883	32.24	78.46
SpisGene750	0	142	189.48	0.7494	0	0
SpisGene751	239	429	642.16	0.6681	27.86	44.44
SpisGene752	0	53	67.3	0.7875	0	0
SpisGene753	0	135	134.31	1.0051	0	0
SpisGene754	16	178	205.45	0.8664	4.49	8.33
SpisGene755	0	119	150.5	0.7907	0	0
SpisGene756	0	82	94.35	0.8691	0	0
SpisGene757	134	92	191.2	0.4812	72.83	87.5
SpisGene758	85	100	282.8	0.3536	42.5	72.73
SpisGene759	15	236	334.48	0.7056	3.18	30.0
SpisGene760	107	54	134.9	0.4003	99.07	91.67
SpisGene761	283	178	404.28	0.4403	79.49	83.33
SpisGene762	43	47	115.52	0.4069	45.74	85.71
SpisGene763	73	103	181.95	0.5661	35.44	88.89
SpisGene764	297	399	631.11	0.6322	37.22	77.78
SpisGene765	25	47	109.08	0.4309	26.6	50.0
SpisGene766	107	262	445.64	0.5879	20.42	86.67
SpisGene767	0	44	53.8	0.8178	0	0
SpisGene768	69	64	174.87	0.366	53.91	69.23
SpisGene769	250	906	1245.69	0.7273	13.8	53.03
SpisGene770	43	60	120.57	0.4976	35.83	75.0
SpisGene771	0	408	432.66	0.943	0	0
SpisGene772	38	296	451.16	0.6561	6.42	88.89
SpisGene773	0	117	130.31	0.8979	0	0
SpisGene774	0	57	58.09	0.9812	0	0
SpisGene775	124	80	210.39	0.3802	77.5	88.89
SpisGene776	0	93	90.43	1.0284	0	0
SpisGene778	204	240	489.84	0.49	42.5	88.24
SpisGene779	171	112	212.05	0.5282	76.34	82.61
SpisGene780	0	50	88.53	0.5648	0	0
SpisGene781	239	353	781.88	0.4515	33.85	85.71
SpisGene782	58	156	299.53	0.5208	18.59	50.0
SpisGene783	0	152	135.36	1.1229	0	0
SpisGene784	0	180	201.27	0.8943	0	0
SpisGene785	0	82	98.53	0.8322	0	0
SpisGene786	14	300	395.65	0.7582	2.33	18.9
SpisGene787	260	292	484.3	0.6029	44.52	84.21
SpisGene788	188	318	572.9	0.5551	29.56	88.12
SpisGene789	0	138	151.11	0.9132	0	0
SpisGene790	0	80	92.8	0.8621	0	0
SpisGene791	23	71	86.95	0.8166	16.2	8.6
SpisGene792	0	377	440.87	0.8551	0	0
SpisGene793	11	73	143.54	0.5086	7.53	53.85
SpisGene794	55	66	142.08	0.4645	41.67	77.78
SpisGene795	0	20	54.42	0.3675	0	0
SpisGene796	20	91	141.73	0.6421	10.99	84.17
SpisGene797	0	255	274.21	0.9299	0	0
SpisGene798	0	185	223.97	0.826	0	0
SpisGene799	0	43	41.27	1.0419	0	0
SpisGene800	0	239	277.5	0.8613	0	0
SpisGene801	0	166	182.58	0.9092	0	0
SpisGene802	0	168	170.13	0.9875	0	0
SpisGene803	0	450	483.56	0.9306	0	0
SpisGene804	0	46	70.25	0.6548	0	0
SpisGene805	0	92	128.53	0.7158	0	0
SpisGene806	0	114	108.27	1.0529	0	0
SpisGene807	94	76	274.66	0.2767	61.84	50.0
SpisGene808	78	70	190.97	0.3665	55.71	86.81
SpisGene809	0	373	451.63	0.8259	0	0
SpisGene810	90	174	361.07	0.4819	25.86	88.24
SpisGene811	0	38	40.04	0.9491	0	0
SpisGene812	0	1041	1151.35	0.9042	0	0
SpisGene813	36	38	106.29	0.3575	47.37	84.81
SpisGene814	69	298	399.26	0.7464	11.58	88.24
SpisGene815	263	840	1210.1	0.6942	15.65	85.71
SpisGene816	143	95	194.78	0.4877	75.26	83.33
SpisGene817	80	330	442.48	0.7458	12.12	37.17
SpisGene818	158	172	418.87	0.4106	45.93	83.33
SpisGene819	0	351	329.95	1.0638	0	0
SpisGene820	0	175	153.61	1.1392	0	0
SpisGene821	0	117	127.63	0.9167	0	0
SpisGene822	121	428	640.37	0.6684	14.14	72.73
SpisGene823	0	105	180.92	0.5804	0	0
SpisGene824	0	196	178.58	1.0975	0	0
SpisGene825	0	79	87.06	0.9074	0	0
SpisGene826	0	130	133.96	0.9704	0	0
SpisGene827	0	130	133.85	0.9712	0	0
SpisGene828	34	73	150.6	0.4847	23.29	81.53
SpisGene829	357	218	388.56	0.561	81.88	86.67
SpisGene830	96	73	274.99	0.2655	65.75	80.0
SpisGene831	24	267	365.37	0.7308	4.49	86.25
SpisGene832	9	722	821.42	0.879	0.62	13.98
SpisGene833	0	229	262.94	0.8709	0	0
SpisGene834	186	154	248.86	0.6188	60.39	83.33
SpisGene835	160	184	383.53	0.4798	43.48	87.08
SpisGene836	85	82	236.01	0.3474	51.83	81.82
SpisGene837	85	175	233.46	0.7496	24.29	83.33
SpisGene838	109	201	230.61	0.8716	27.11	88.89
SpisGene839	0	162	178.04	0.9099	0	0
SpisGene840	215	363	755.4	0.4805	29.61	88.24
SpisGene841	53	543	625.11	0.8686	4.88	80.0
SpisGene842	108	95	177.42	0.5355	56.84	81.82
SpisGene843	1	746	747.69	0.9977	0.07	11.11
SpisGene844	0	148	158.9	0.9314	0	0
SpisGene845	0	136	156.69	0.868	0	0
SpisGene846	0	119	127.81	0.9311	0	0
SpisGene847	0	112	115.27	0.9716	0	0
SpisGene848	0	1758	1818.37	0.9668	0	0
SpisGene849	105	62	117.7	0.5268	84.68	88.89
SpisGene850	4	58	77.04	0.7529	3.45	80.76
SpisGene851	83	232	361.73	0.6414	17.89	75.0
SpisGene852	0	250	283.12	0.883	0	0
SpisGene853	2	431	467.45	0.922	0.23	6.25
SpisGene854	0	84	94.33	0.8905	0	0
SpisGene855	0	82	88.57	0.9258	0	0
SpisGene856	8	344	351.39	0.979	1.16	7.51
SpisGene857	0	70	78.56	0.891	0	0
SpisGene858	22	55	65.8	0.8359	20.0	12.85
SpisGene859	0	54	59.67	0.905	0	0
SpisGene860	0	119	102.42	1.1619	0	0
SpisGene861	4	300	352.32	0.8515	0.67	9.55
SpisGene862	249	681	981.75	0.6937	18.28	80.0
SpisGene863	112	89	262.35	0.3392	62.92	85.71
SpisGene864	305	390	639.31	0.61	39.1	87.5
SpisGene865	227	146	413.07	0.3535	77.74	88.24
SpisGene866	233	158	452.83	0.3489	73.73	88.46
SpisGene867	1	351	392.38	0.8945	0.14	4.35
SpisGene868	0	339	397.06	0.8538	0	0
SpisGene869	0	387	467.62	0.8276	0	0
SpisGene870	154	466	627.54	0.7426	16.52	88.89
SpisGene871	30	44	82.8	0.5314	34.09	84.62
SpisGene872	48	40	127.12	0.3147	60.0	85.58
SpisGene873	0	63	148.28	0.4249	0	0
SpisGene874	0	305	351.07	0.8688	0	0
SpisGene875	0	179	205.6	0.8706	0	0
SpisGene876	0	364	332.35	1.0952	0	0
SpisGene877	152	93	327.62	0.2839	81.72	83.33
SpisGene878	22	33	81.64	0.4042	33.33	82.84
SpisGene879	13	42	58.33	0.72	15.48	78.57
SpisGene880	88	65	228.26	0.2848	67.69	86.52
SpisGene881	0	129	268.66	0.4802	0	0
SpisGene882	11	76	105.93	0.7175	7.24	87.5
SpisGene883	196	579	769.45	0.7525	16.93	84.41
SpisGene884	44	212	259.74	0.8162	10.38	57.14
SpisGene885	237	343	558.25	0.6144	34.55	81.25
SpisGene886	107	420	700.44	0.5996	12.74	76.47
SpisGene887	0	49	50.33	0.9736	0	0
SpisGene888	0	20	46.33	0.4317	0	0
SpisGene889	2	82	103.21	0.7945	1.22	0.0
SpisGene890	0	94	106.68	0.8811	0	0
SpisGene891	5	1284	1309.96	0.9802	0.19	10.53
SpisGene892	0	80	136.84	0.5846	0	0
SpisGene893	0	86	46.22	1.8607	0	0
SpisGene894	0	182	257.37	0.7072	0	0
SpisGene895	14	10	32.19	0.3107	70.0	43.88
SpisGene896	27	419	430.97	0.9722	3.22	14.29
SpisGene897	111	99	275.18	0.3598	56.06	85.71
SpisGene898	91	147	286.03	0.5139	30.95	81.25
SpisGene899	2	401	511.45	0.784	0.25	15.61
SpisGene900	0	61	82.32	0.741	0	0
SpisGene901	0	17	29.28	0.5806	0	0
SpisGene902	0	617	753.38	0.819	0	0
SpisGene903	0	286	378.95	0.7547	0	0
SpisGene904	6	448	443.12	1.011	0.67	19.51
SpisGene905	0	62	52.79	1.1745	0	0
SpisGene906	130	227	373.78	0.6073	28.63	84.62
SpisGene907	196	191	329.99	0.5788	51.31	85.36
SpisGene908	180	197	587.45	0.3353	45.69	88.89
SpisGene909	0	566	572.94	0.9879	0	0
SpisGene910	106	373	636.68	0.5859	14.21	82.09
SpisGene911	38	962	949.5	1.0132	1.98	16.67
SpisGene912	0	460	522.6	0.8802	0	0
SpisGene913	169	783	892.0	0.8778	10.79	50.0
SpisGene914	62	66	182.71	0.3612	46.97	91.83
SpisGene915	20	31	104.5	0.2967	32.26	89.97
SpisGene916	82	72	240.75	0.2991	56.94	83.33
SpisGene917	209	182	355.14	0.5125	57.42	81.82
SpisGene918	98	390	402.41	0.9692	12.56	61.2
SpisGene919	67	129	298.51	0.4321	25.97	86.21
SpisGene920	0	113	104.98	1.0764	0	0
SpisGene921	8	22	80.59	0.273	18.18	72.99
SpisGene922	0	114	122.8	0.9283	0	0
SpisGene923	150	138	336.59	0.41	54.35	87.5
SpisGene924	0	308	315.78	0.9754	0	0
SpisGene925	13	507	572.81	0.8851	1.28	17.86
SpisGene926	0	51	74.04	0.6888	0	0
SpisGene927	0	31	56.93	0.5445	0	0
SpisGene928	0	226	213.12	1.0604	0	0
SpisGene929	0	232	260.78	0.8896	0	0
SpisGene930	73	72	113.55	0.6341	50.69	14.71
SpisGene931	0	99	94.21	1.0508	0	0
SpisGene932	9	597	771.36	0.774	0.75	9.09
SpisGene933	0	392	444.4	0.8821	0	0
SpisGene934	5	653	785.15	0.8317	0.38	0.0
SpisGene935	9	189	243.41	0.7765	2.38	7.3
SpisGene936	33	81	78.97	1.0257	20.37	10.12
SpisGene937	0	180	212.67	0.8464	0	0
SpisGene938	46	500	453.65	1.1022	4.6	14.29
SpisGene939	0	62	92.16	0.6727	0	0
SpisGene940	12	51	77.43	0.6587	11.76	50.34
SpisGene941	10	111	99.99	1.1101	4.5	15.51
SpisGene942	0	145	169.56	0.8552	0	0
SpisGene943	0	437	497.25	0.8788	0	0
SpisGene944	227	426	776.17	0.5488	26.64	56.25
SpisGene945	24	47	84.0	0.5595	25.53	17.91
SpisGene946	16	85	239.02	0.3556	9.41	27.78
SpisGene947	116	114	153.44	0.743	50.88	25.0
SpisGene948	49	302	397.54	0.7597	8.11	75.0
SpisGene949	46	162	209.39	0.7737	14.2	81.39
SpisGene950	0	81	74.34	1.0896	0	0
SpisGene951	34	236	372.9	0.6329	7.2	78.89
SpisGene952	17	1606	1524.02	1.0538	0.53	9.38
SpisGene953	0	348	337.88	1.03	0	0
SpisGene954	136	623	927.79	0.6715	10.91	81.53
SpisGene955	0	21	27.98	0.7505	0	0
SpisGene956	0	398	359.21	1.108	0	0
SpisGene957	0	145	167.58	0.8653	0	0
SpisGene958	2	312	321.01	0.9719	0.32	21.32
SpisGene959	451	496	1031.02	0.4811	45.46	87.5
SpisGene960	23	35	95.93	0.3648	32.86	88.24
SpisGene961	105	77	241.43	0.3189	68.18	87.5
SpisGene962	42	60	177.4	0.3382	35.0	89.18
SpisGene963	0	344	382.83	0.8986	0	0
SpisGene964	203	204	354.06	0.5762	49.75	83.33
SpisGene965	24	79	101.51	0.7782	15.19	15.91
SpisGene966	0	63	57.55	1.0947	0	0
SpisGene967	36	18	85.22	0.2112	100.0	88.89
SpisGene968	120	61	194.12	0.3142	98.36	89.74
SpisGene969	19	137	226.32	0.6053	6.93	50.0
SpisGene970	0	171	226.65	0.7545	0	0
SpisGene971	111	57	79.65	0.7156	97.37	78.95
SpisGene972	1	553	611.22	0.9047	0.09	0.0
SpisGene973	65	106	270.57	0.3918	30.66	85.71
SpisGene974	67	999	1098.03	0.9098	3.35	75.0
SpisGene975	0	101	129.26	0.7814	0	0
SpisGene976	312	486	729.91	0.6658	32.1	55.05
SpisGene977	76	399	666.78	0.5984	9.52	88.89
SpisGene978	265	209	507.47	0.4118	63.4	90.0
SpisGene979	1	154	165.55	0.9302	0.32	4.76
SpisGene980	116	358	609.68	0.5872	16.2	84.81
SpisGene981	57	46	177.55	0.2591	61.96	90.0
SpisGene982	82	89	180.41	0.4933	46.07	80.0
SpisGene983	0	162	158.7	1.0208	0	0
SpisGene984	2	107	125.03	0.8558	0.93	26.54
SpisGene985	0	105	109.04	0.9629	0	0
SpisGene986	0	294	428.66	0.6859	0	0
SpisGene987	24	37	103.67	0.3569	32.43	71.96
SpisGene988	0	84	184.67	0.4549	0	0
SpisGene989	0	160	213.01	0.7511	0	0
SpisGene990	6	14	69.32	0.202	21.43	88.79
SpisGene991	242	134	242.74	0.552	90.3	80.0
SpisGene992	62	115	175.16	0.6565	26.96	66.67
SpisGene993	10	37	70.11	0.5277	13.51	54.41
SpisGene994	25	35	160.38	0.2182	35.71	78.57
SpisGene995	169	286	441.46	0.6479	29.55	65.0
SpisGene996	0	54	57.71	0.9357	0	0
SpisGene997	0	169	165.48	1.0213	0	0
SpisGene998	69	196	373.65	0.5246	17.6	80.0
SpisGene999	299	463	717.73	0.6451	32.29	76.92
SpisGene1000	0	151	141.02	1.0708	0	0
SpisGene1001	0	546	570.48	0.9571	0	0
SpisGene1002	54	602	775.72	0.7761	4.49	82.35
SpisGene1003	29	32	82.69	0.387	45.31	90.0
SpisGene1004	79	68	185.14	0.3673	58.09	84.62
SpisGene1005	11	107	136.12	0.7861	5.14	84.62
SpisGene1006	198	128	301.62	0.4244	77.34	88.0
SpisGene1007	0	73	203.61	0.3585	0	0
SpisGene1008	111	202	376.65	0.5363	27.48	83.33
SpisGene1009	182	130	229.45	0.5666	70.0	92.31
SpisGene1010	15	8	58.74	0.1362	93.75	90.91
SpisGene1011	2	24	65.86	0.3644	4.17	52.27
SpisGene1012	89	46	179.96	0.2556	96.74	88.24
SpisGene1013	0	165	221.22	0.7459	0	0
SpisGene1014	4	197	238.55	0.8258	1.02	17.71
SpisGene1015	0	61	75.92	0.8035	0	0
SpisGene1016	0	277	281.57	0.9838	0	0
SpisGene1017	6	131	150.37	0.8712	2.29	4.76
SpisGene1018	20	131	190.9	0.6862	7.63	82.29
SpisGene1019	10	30	69.78	0.4299	16.67	92.5
SpisGene1020	110	91	237.94	0.3824	60.44	81.8
SpisGene1021	36	276	352.89	0.7821	6.52	53.85
SpisGene1022	0	166	187.97	0.8831	0	0
SpisGene1023	0	39	47.59	0.8195	0	0
SpisGene1024	0	150	148.14	1.0126	0	0
SpisGene1025	0	678	814.92	0.832	0	0
SpisGene1026	0	111	166.06	0.6684	0	0
SpisGene1027	0	46	59.14	0.7778	0	0
SpisGene1028	54	526	704.52	0.7466	5.13	16.67
SpisGene1029	6	55	56.23	0.9781	5.45	49.15
SpisGene1030	0	161	164.56	0.9784	0	0
SpisGene1031	0	61	80.8	0.755	0	0
SpisGene1032	16	194	233.44	0.831	4.12	5.78
SpisGene1033	0	213	224.31	0.9496	0	0
SpisGene1034	0	31	32.62	0.9503	0	0
SpisGene1035	0	66	67.81	0.9733	0	0
SpisGene1036	0	545	693.39	0.786	0	0
SpisGene1037	0	27	22.39	1.2059	0	0
SpisGene1038	15	272	274.77	0.9899	2.76	5.59
SpisGene1039	195	539	775.22	0.6953	18.09	83.33
SpisGene1040	0	404	358.03	1.1284	0	0
SpisGene1041	245	430	498.43	0.8627	28.49	5.0
SpisGene1042	0	27	38.67	0.6982	0	0
SpisGene1043	0	119	136.37	0.8726	0	0
SpisGene1044	0	155	190.78	0.8125	0	0
SpisGene1045	0	151	185.36	0.8146	0	0
SpisGene1046	66	39	66.83	0.5836	84.62	15.84
SpisGene1047	4	305	397.17	0.7679	0.66	76.33
SpisGene1048	5	762	698.54	1.0908	0.33	30.0
SpisGene1049	94	211	400.05	0.5274	22.27	75.96
SpisGene1050	7	9	15.0	0.6	38.89	21.05
SpisGene1051	0	2014	2373.18	0.8487	0	0
SpisGene1052	70	55	148.13	0.3713	63.64	57.63
SpisGene1053	131	100	410.43	0.2436	65.5	90.0
SpisGene1054	16	19	44.21	0.4298	42.11	83.97
SpisGene1055	681	463	991.25	0.4671	73.54	91.67
SpisGene1056	0	56	72.06	0.7771	0	0
SpisGene1057	328	256	445.05	0.5752	64.06	88.56
SpisGene1058	0	37	44.15	0.8381	0	0
SpisGene1059	110	113	196.12	0.5762	48.67	81.65
SpisGene1060	0	359	419.19	0.8564	0	0
SpisGene1062	50	26	61.43	0.4232	96.15	25.86
SpisGene1063	0	140	332.17	0.4215	0	0
SpisGene1064	43	51	103.7	0.4918	42.16	81.82
SpisGene1065	26	29	108.92	0.2663	44.83	87.5
